,time,storis
100,2020-11-14 00:00:00+00:00,-8.725176307981656
101,2020-11-29 00:00:00+00:00,-6.65008977585012
102,2020-12-14 00:00:00+00:00,-0.9436018124880547
103,2020-12-29 00:00:00+00:00,-0.9436018124880547
104,2021-01-13 00:00:00+00:00,1.2736290020905017
105,2021-01-28 00:00:00+00:00,1.6147414351024736
106,2021-02-12 00:00:00+00:00,2.4163552350430564
107,2021-02-27 00:00:00+00:00,2.5501341325593785
108,2021-03-14 00:00:00+00:00,2.578881800754175
109,2021-03-29 00:00:00+00:00,2.578881800754175
110,2021-04-13 00:00:00+00:00,3.4761260190243775
111,2021-04-28 00:00:00+00:00,3.6141635910657897
112,2021-05-13 00:00:00+00:00,3.397739979700418
113,2021-05-28 00:00:00+00:00,3.364444039490536
114,2021-06-12 00:00:00+00:00,1.9611768501617917
115,2021-06-27 00:00:00+00:00,1.7452895902652017
116,2021-07-12 00:00:00+00:00,2.7384147583497906
117,2021-07-27 00:00:00+00:00,2.8912032457471923
118,2021-08-11 00:00:00+00:00,3.234885176700118
119,2021-08-26 00:00:00+00:00,3.28775931992368
120,2021-09-10 00:00:00+00:00,1.2706588719495358
121,2021-09-25 00:00:00+00:00,-0.3826389801965888
122,2021-10-10 00:00:00+00:00,-16.371741833881515
123,2021-10-25 00:00:00+00:00,-6.258037648834488
124,2021-11-09 00:00:00+00:00,-1.8847292192101577
125,2021-11-24 00:00:00+00:00,3.009168916620183
126,2021-12-09 00:00:00+00:00,4.920229715551841
127,2021-12-24 00:00:00+00:00,5.0073148998146735
128,2022-01-08 00:00:00+00:00,2.552019101031192
129,2022-01-23 00:00:00+00:00,1.324371201639451
130,2022-02-07 00:00:00+00:00,2.2277590386756856
131,2022-02-22 00:00:00+00:00,2.3667417828351063
132,2022-03-09 00:00:00+00:00,2.1427225961967906
133,2022-03-24 00:00:00+00:00,1.8867006686098193
134,2022-04-08 00:00:00+00:00,1.902913597191855
135,2022-04-23 00:00:00+00:00,2.1298945973360333
136,2022-05-08 00:00:00+00:00,2.2149470587644373
137,2022-05-23 00:00:00+00:00,2.3121498718253406
138,2022-06-07 00:00:00+00:00,2.187352528586416
139,2022-06-22 00:00:00+00:00,0.44018972323578964
140,2022-07-07 00:00:00+00:00,-0.17750316709452818
141,2022-07-22 00:00:00+00:00,-0.8834378989001834
142,2022-08-06 00:00:00+00:00,-2.0945245298748887
143,2022-08-21 00:00:00+00:00,-19.049737363517806
144,2022-09-05 00:00:00+00:00,-19.04973736351758
145,2022-09-20 00:00:00+00:00,-16.11990509896725
146,2022-10-05 00:00:00+00:00,
