,time,Worsleybreen,Austfonna basin-8,Austfonna basin-7,Austfonna basin-6 (21105),Austfonna basin-6 (21106),Hartogbukta,Storisstraumen,Klerckbukta,Kervelbukta,Braasvellbreen,Palanderbreen,Ericabreen,Palanderisen,Etonbreen,Fonndalsbreen,Duvebreen,Schweigaardbreen,Nilsenbreen,Leighbreen
0,2016-10-21 00:00:00+00:00,-0.09618663471239017,-0.1952266583901083,-0.5612239580005475,-0.9959970119375007,-0.6978690050656587,-0.8693781672107265,-6.277567192672408,-1.305026017246408,-0.532705067067573,-1.1364533594041946,-0.092708293558839,0.6296729075417478,-0.2238942239523752,-0.7160962961228677,-0.45854086848441256,-0.25015016256383765,-2.5753746835802405,-0.586427651801768,-0.7276029696172138
1,2016-11-20 00:00:00+00:00,0.056145511156409006,-0.5878004056615855,-1.5051935090115012,-0.921695073022353,-1.9460171092449097,-1.7988847980465974,-7.195373023988757,-1.8471312571058431,-1.5115235486767318,-1.3613446726539558,-0.5246427048537701,-1.4121578433899953,1.3070912330700828,-0.6452452009877638,-0.26238595712111346,-0.8356092624404554,-3.548849017107252,-0.4158790768277083,-1.582453098342043
2,2016-12-20 00:00:00+00:00,-0.11230133005593303,-0.07369286110323324,-0.6789791815024684,-0.9463435631354166,-1.3568508877693943,-1.3130548759197216,-4.611057921408007,-0.4053516034674053,-0.9570504361614415,-1.027167426922963,0.4962111440995267,0.8213850158211613,-1.1567464823816034,-0.2452704394730327,0.18965470569699866,-1.5955777334885697,-1.019019698714277,-0.9637569745574492,-1.111723473921895
3,2017-01-19 00:00:00+00:00,-0.06774161033534568,0.2066564153804041,0.7924058456443308,0.4450570709508217,0.6618593957284837,-0.07644325626382227,3.1551115648065235,2.008200888604504,-0.2550540192863581,-0.8842392517799851,0.8401334872948222,0.13060624928072725,0.3269539579028493,0.1037799732588074,0.07580640989566173,0.8789502515294724,1.0276524113130998,0.5850905166641327,0.5235358535618329
4,2017-02-17 00:00:00+00:00,0.42908780454884404,1.3349029367732579,1.612031367084967,0.9136387890362753,1.3059995592764964,0.5607508898128215,6.937029746755138,4.174851766208627,0.047698530508729645,0.7767391551335072,0.26346936028170875,-0.0410863101537966,0.5661328764492987,0.1361399215557832,1.1948221181518588,1.06457126272347,1.4895373306923527,0.81539498847025,1.0446114378067086
5,2017-03-19 00:00:00+00:00,0.15949142104003472,0.20489193802535907,0.9302231389289896,0.005412080249678963,1.088112888576981,0.607761952667854,6.289711364003437,3.855565058375321,0.1338444586628749,-0.29255952083775805,1.135312720382088,-0.17497475810895777,0.45377283032578014,-0.10671940316397077,-0.14396431556662978,-0.06119291447766531,2.3043933448818614,0.6254530588262879,0.7951171031235552
6,2017-04-19 00:00:00+00:00,-0.515023290511268,0.02154489757868876,0.6051721641900799,0.3558120203108247,0.7913720213553994,0.2744003104563838,6.035448178164946,3.369308161834255,0.04091359211791719,0.022367592877457744,-0.5910037581622813,0.3135806559475067,0.45791156990114096,0.020620982114214828,1.1962857847748876,0.8649248078257844,1.7790927110247816,0.18605566896257716,1.270104067916958
7,2017-05-19 00:00:00+00:00,-0.09470027726261243,-0.1554477624428424,0.16175018486608356,0.14287040004218488,0.9146157287800769,0.38760614452882275,5.554732906235193,2.443213778251743,0.05146940678469836,0.05040050569683839,-0.2926799299438115,0.0919481132609304,0.531312946006676,-0.010351115650523192,-0.9168261680815767,1.638885911655674,-0.19823194271466585,0.22407011056253787,0.385849865788902
8,2017-06-18 00:00:00+00:00,0.5468856927588421,0.09769619851608881,0.6935768996637409,0.14388317707639206,0.6859189299396287,-0.06635178122952992,4.952719185270177,2.583221514485599,0.13851498075895458,-0.06950861062000134,-0.08825532868831375,0.9585259517441157,-0.9526540019562588,-0.06594955985479635,-0.6781835349322752,-1.1145673470828337,1.2627675704361325,0.1725832377759773,-0.13544967320250023
9,2017-07-18 00:00:00+00:00,-0.30997216312593573,0.14336646676315531,0.8370130865207683,0.32858963777038025,0.6607473350503145,0.4937400165969975,5.06739516832805,1.6310961078140545,1.3582142813511608,0.16041380954730017,-0.037582903574466156,-1.770669984477893,0.05090265623062671,0.07503957453115466,0.2586934084105111,1.2359332835747692,0.5721713019326817,-0.15844043272071512,1.0991980896844684
10,2017-08-17 00:00:00+00:00,-0.3479310817343108,0.1265174150547261,0.09840166983622707,0.15799246157693375,0.31444442594313354,0.3203002776224288,4.600750277454663,4.9422528199579805,1.5740429318188078,-0.4229225210874919,-0.4989717989438897,0.012162039836250658,-0.6945420606264484,-0.6879997694122905,0.09618503896189257,-0.5984340463576127,1.1068322633698189,0.30115964405038315,-0.2631098536324644
11,2017-09-19 00:00:00+00:00,0.24081390330141877,-0.19821069642153963,-0.24696369471629426,-0.06463222830464749,-0.25134071482030396,0.017245288569097877,0.0003581842435985492,2.488246656626157,0.07277682000481495,-0.322528079673528,1.7837455661583403,-0.2716895647476832,-0.049339399267970624,-0.2848006124208677,-0.4554406790813235,-0.8717447896854504,0.12985683355960964,-0.20586169635335871,-0.6457917207508762
12,2017-10-22 00:00:00+00:00,-0.03504521079582655,-0.44248010161626283,-1.2574109200998018,-0.6388441142980227,-1.2138838057363344,-0.5941770303146007,-12.480336854575045,-1.8898291220804615,-1.1949641688213652,-0.34660727768207883,-1.8368475658590406,0.21818783315794596,-0.24071367531531024,-0.20459674861874738,0.8214269466677983,0.7170929615841307,-4.363045992134558,0.25728816064609383,-2.6071752978564593
