mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-01-17 12:18:38.579023872,79.47,25.02,1610.0,5.0,1318.0,4.7,924.0,5.0,339,S,2B,3413
2020-11-20 00:48:35.079021824,79.47,25.02,1590.0,7.0,1305.0,6.6,908.0,6.4,475,S,2A,3413
2021-04-30 13:18:24.079022080,79.47,25.02,1478.0,130.0,1166.0,132.3,909.0,125.1,10,S,2B,3413
2019-12-10 12:38:39.579022080,79.47,25.02,1744.0,14.0,1426.0,13.8,1004.0,13.2,259,S,2B,3413
2017-10-29 00:36:57.079024128,79.47,25.02,2199.0,6.0,1801.0,5.7,1262.0,6.1,324,S,2A,3413
2018-06-26 11:56:50.079022080,79.47,25.02,2135.0,5.0,1726.0,4.1,1257.0,6.0,160,S,2B,3413
2018-07-15 13:17:14.079022080,79.47,25.02,2238.0,35.0,1841.0,32.0,1272.0,41.4,79,S,2A,3413
2020-04-09 15:04:20.980558080,79.47,25.02,1601.0,43.0,1334.0,47.7,886.0,27.3,6,S,1B,3413
2020-02-05 13:18:27.079024128,79.47,25.02,1716.0,4.0,1414.0,3.6,973.0,4.1,369,S,2B,3413
2021-06-18 00:48:37.079022080,79.47,25.02,1488.0,66.0,1182.0,66.1,904.0,66.2,55,S,2A,3413
2019-05-13 00:12:38.579022080,79.47,25.02,1906.0,31.0,1503.0,31.7,1172.0,29.7,74,S,2B,3413
2017-11-29 00:06:45.079022080,79.47,25.02,2216.0,14.0,1811.0,14.2,1278.0,12.3,255,S,2B,3413
2018-05-15 12:07:20.079022080,79.47,25.02,1974.0,25.0,1579.0,25.3,1184.0,25.2,109,S,2B,3413
2021-05-13 00:28:38.579022080,79.47,25.02,1504.0,44.0,1172.0,46.2,943.0,41.2,35,S,2A,3413
2017-06-23 00:26:53.079022080,79.47,25.02,2161.0,63.0,1758.0,66.1,1256.0,55.6,34,S,2A,3413
